,term,variable,value,p,padj
0,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
1,KEGG_MM_CITRATE_CYCLE,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
2,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
3,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
4,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
5,KEGG_MM_GALACTOSE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
6,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
7,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
8,KEGG_MM_FATTY_ACID_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
9,KEGG_MM_SYNTHESIS_AND_DEGRADATION_OF_KETONE_BODIES,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
10,KEGG_MM_STEROID_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
11,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
12,KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
13,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
14,KEGG_MM_PURINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
15,KEGG_MM_CAFFEINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
16,KEGG_MM_PYRIMIDINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
17,KEGG_MM_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
18,KEGG_MM_GLYCINE_SERINE_AND_THREONINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
19,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
20,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
21,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
22,KEGG_MM_LYSINE_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
23,KEGG_MM_LYSINE_DEGRADATION,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
24,KEGG_MM_ARGININE_AND_PROLINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
25,KEGG_MM_HISTIDINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
26,KEGG_MM_TYROSINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
27,KEGG_MM_PHENYLALANINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
28,KEGG_MM_TRYPTOPHAN_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
29,KEGG_MM_PHENYLALANINE_TYROSINE_AND_TRYPTOPHAN_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
30,KEGG_MM_BETA-ALANINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
31,KEGG_MM_TAURINE_AND_HYPOTAURINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
32,KEGG_MM_SELENOCOMPOUND_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
