"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UBE2I",-0.154619502393955,7.7565646144814,-2.64360231002269,0.00863641885506203,0.0405393348173773,-3.80286361896736
"TBPL1",0.54994959121642,5.01884837612713,2.64341558930884,0.00864107238284544,0.0405393348173773,-3.80334509641052
"FOSL2",0.419084670557033,1.35993630707006,2.64339333224846,0.00864162723236955,0.0405393348173773,-3.80340248623203
"LARS2",-0.232105091811935,5.14564255578813,-2.6433300759146,0.00864320433354245,0.0405393348173773,-3.80356559014712
"LIN37",-0.679773107337394,4.83245591657376,-2.64316572905255,0.00864730302319672,0.0405393348173773,-3.80398933452244
"CYB5R3",-0.583221371291535,5.3983655605726,-2.64281412829537,0.00865607755096311,0.0405393348173773,-3.80489580130272
"GSTT2",0.427281365102152,8.09431407539073,2.64277173642724,0.00865713602003737,0.0405393348173773,-3.8050050845934
"CALM2",0.227559748192287,10.0834334346759,2.64274550770488,0.00865779097488624,0.0405393348173773,-3.80507269957977
"COG5",-0.550600849413217,1.240581054034,-2.64258897719894,0.0086617006083197,0.0405393348173773,-3.80547620603903
"RPS2",-0.201811041151877,10.6729359578223,-2.64086118996922,0.00870496071287072,0.0407201798102599,-3.80992860441328
"ORAI2",-0.357427802168463,0.488661091257676,-2.63968484266876,0.00873452487611447,0.0408367998584599,-3.81295838721722
"KLRC1",-0.368072372992309,0.306370089792826,-2.63924906074905,0.00874549989279679,0.0408664318956618,-3.81408045377484
"EID1",0.534092539100959,1.65815943624923,2.63863975467246,0.00876086581908294,0.0409165397263264,-3.81564902005813
"SREK1",0.351600983215762,5.38377490091954,2.63790910680842,0.00877932379737964,0.0409810278741032,-3.81752950675687
"RBM25",0.205367027870874,6.27338954473343,2.63728362554357,0.00879515274211932,0.0410331821685006,-3.81913892875614
"ABCB8",-0.686793852874498,2.45451211141332,-2.63318691391473,0.00889946263078479,0.0414978646376224,-3.82967114751796
"RANBP2",-0.410029861675352,4.8087587980183,-2.63276796145424,0.00891019228641417,0.0415259252354141,-3.83074734996216
"AIDA",-0.594273060506919,1.58372378229511,-2.63224267741016,0.00892366157271476,0.0415667174631793,-3.8320964653976
"PDLIM2",-0.60833188416354,2.00694630333085,-2.63205879576618,0.00892838096651525,0.0415667308282614,-3.83256867786356
"SEC24A",-0.464268408489628,1.73064073402806,-2.6312644830812,0.00894879306226996,0.0416397641276585,-3.83460813011434
"SURF4",-0.32443220187342,6.35228775950977,-2.62856725092945,0.00901841899771487,0.0419415971645705,-3.84152907364514
"UBAP2L",-0.316152325751638,6.01017100083443,-2.62777159053765,0.00903905070710846,0.0420153765199087,-3.84356939864063
"TPP2",-0.388878426320206,5.84539721519433,-2.62622401560619,0.00907930113218262,0.0421802218650107,-3.84753618170417
"ZPBP2",-0.395360191835648,0.437292116506281,-2.6252268083644,0.00910532233309059,0.0422658304668022,-3.85009106661478
"ZFYVE16",-0.574205090556385,1.45586750661263,-2.62496747468919,0.00911210035954585,0.0422658304668022,-3.85075533811653
"EIF2S3X",-0.281186355596107,6.97684521552096,-2.6249150324951,0.00911347155536288,0.0422658304668022,-3.85088965881427
"THA1",0.342035621774736,0.310551694314114,2.62478348935764,0.00911691180272223,0.0422658304668022,-3.85122657024941
"VBP1",-0.295886166708142,7.26232447401244,-2.62296116801218,0.00916469099003576,0.042464995633641,-3.85589228495356
"RNF149",-0.601060903733814,2.78828649685756,-2.62152531064428,0.00920249562473309,0.0426177582452826,-3.85956635145342
"LXN",-0.856434870757693,4.11029081789501,-2.62031705189017,0.00923441613987829,0.0427431247062749,-3.86265655124887
"SYNE1",-0.428179580466697,0.790196360850828,-2.61639671401173,0.0093386709798578,0.0432029959818828,-3.87267370161632
"ELP3",-0.635812087931962,2.34464580130794,-2.61571434045393,0.00935692502295562,0.0432647325431836,-3.87441582227524
"SFXN1",0.268131603433862,6.85201259422726,2.61440697554772,0.00939198747633632,0.0434040826580765,-3.87775235289594
"RAB43",0.298756251042366,0.422175658455575,2.61333203373723,0.00942090472790873,0.0435149021839935,-3.88049452235048
"SLC16A6",-0.607435765102776,1.61233493380858,-2.61289382768602,0.0094327158907628,0.0435466344396504,-3.88161207408343
"NDUFB6",-0.196687010142036,9.09705345796286,-2.60778470859503,0.00957140712027902,0.0441637753670257,-3.89462859075318
"MXI1",-0.548518698021638,1.43944066820227,-2.60731141901277,0.00958434698370174,0.0442003401189761,-3.89583316035964
"TULP3",-0.489251480045483,0.868795796638196,-2.60605591853575,0.00961874868282168,0.0443357908690939,-3.89902752354405
"GAA",0.582863402445547,1.5878676914522,2.6049438974143,0.00964931128873601,0.0444534136892998,-3.90185560556839
"EMC1",-0.482661120174234,3.43405765472793,-2.60299927338219,0.00970296618437186,0.0446354509984304,-3.9067983844045
"MXD1",-0.424468627952654,0.793451392930449,-2.60275189179162,0.00970981091631583,0.0446354509984304,-3.90742691762823
"PPAT",0.48037728786083,5.07374492064673,2.60267591111891,0.00971191407237171,0.0446354509984304,-3.90761995358927
"WDR12",0.300749818299289,6.85988741537267,2.60267383399894,0.00971197157308425,0.0446354509984304,-3.90762523062999
"SLAIN2",-0.51972401258801,1.68061234176351,-2.60259518658968,0.00971414898615561,0.0446354509984304,-3.90782503586011
"PEO1",0.590322688001262,1.85398161295598,2.60193828640768,0.00973235285241235,0.0446957924378896,-3.9094936778857
"PAXIP1",0.445986801689497,1.685623182834,2.59869369509336,0.00982271518595541,0.0450872859030339,-3.91772960747316
"BTF3",0.0976788418373564,10.3144747740375,2.59673252814588,0.00987769761084346,0.0453160588466233,-3.92270298701159
"TXNIP",0.777317260378085,3.00276578918965,2.59559560589921,0.00990969790820294,0.0454392131451574,-3.92558449786649
"LARP1B",0.709267943602105,2.14245787017624,2.59534174341795,0.00991685589435813,0.0454483884539668,-3.92622774348611
"ENTPD4",0.419859590770889,0.714269534221804,2.5942103818262,0.00994881243961393,0.0455711455459031,-3.92909369593685
"AP2S1",-0.413766848969787,6.48470318914416,-2.59397306680257,0.00995552734807297,0.0455782142953595,-3.92969470816453
"RBMS2",0.550296206286699,1.78429464803431,2.59342232383702,0.00997112644273417,0.0456259280061351,-3.93108928994063
"SLC9A9",-0.411576042793522,0.624038269967642,-2.59267669692859,0.00999228024189631,0.0456862603172702,-3.93297690251422
"BRCA1",-0.551481853553315,1.97579659631044,-2.59259221953885,0.00999467943852229,0.0456862603172702,-3.93319073088848
"CCL5",0.302881361484638,0.175684029341046,2.59187839871989,0.0100149728744616,0.0457552907945204,-3.93499728157624
"TNFRSF26",-0.796222972240325,4.15496683259894,-2.59166441548128,0.0100210634524508,0.0457593949256211,-3.93553874161518
"KAZALD1",-0.345136285246061,0.341261632345373,-2.590950543994,0.0100414062744717,0.0458285414277156,-3.93734480248811
"DYNLT1C",0.580230761707696,6.70756664137599,2.59042410629829,0.0100564315652496,0.045859280307047,-3.93867636014524
"PTTG1",0.566411641657883,7.17287600163769,2.59034998873931,0.0100585486024647,0.045859280307047,-3.93886381038044
"SENP7",-0.481368652445699,1.29129545389167,-2.58757399520179,0.0101381277646256,0.0461982006151216,-3.94588086575518
"HSP90AA1",0.11013133761772,9.86397800963814,2.58508818352845,0.0102098659512475,0.0465010587226586,-3.95215830619852
"SMARCC2",-0.542650758598664,2.66361867735313,-2.58428648524031,0.0102330988773636,0.0465827997965938,-3.95418161136699
"PRPSAP2",0.634619711765794,1.80165084249682,2.58403620822161,0.0102403614961671,0.0465917944582966,-3.95481313107615
"SAMSN1",0.662753918667055,3.36144785397319,2.58348032840088,0.0102565086925629,0.0466411822020418,-3.9562155639337
"PGAM1",-0.165048127283211,8.86461020142365,-2.58312317345901,0.01026689534395,0.0466643365993972,-3.95711648028028
"RRP1",0.315485198340605,6.59423423382827,2.58030256682504,0.0103492543532471,0.0470144219665809,-3.96422722138191
"LYRM1",1.0115240840472,3.06938518078269,2.57942280579898,0.0103750631552496,0.0471073836101056,-3.96644357666677
"XLR4C",0.690603087171943,3.28236976226643,2.57895619145667,0.0103887751719332,0.0471453530330829,-3.96761881074111
"CCDC101",0.673649644744073,5.49845705696246,2.57821245964681,0.0104106641192648,0.0472203720448176,-3.96949158400481
"SASH3",0.649892644810617,4.54017613084341,2.5778536887892,0.0104212379284635,0.0472440174195212,-3.97039481163873
"DLAT",0.476172302023815,2.23661795266961,2.5775223833846,0.0104310107950109,0.0472640093246431,-3.97122878656678
"CD47",-0.316372290278483,6.67989138317401,-2.57640401613995,0.010464061011943,0.0473893986116411,-3.97404322737464
"IDNK",0.566498711052441,5.35177170439974,2.5755663347761,0.010488877641997,0.0474773901689366,-3.97615053960759
"UBE2G1",-0.512496165581626,2.86474842269955,-2.57254709166781,0.0105787610827251,0.0478596619209735,-3.98374045751569
"SLC19A2",0.439398363073084,0.748490682854926,2.57190607363117,0.0105979326881367,0.0479141580314317,-3.98535078362968
"CCL4",0.916204868562627,1.64523394469573,2.57178089156453,0.010601680263394,0.0479141580314317,-3.98566521352854
"MIER1",-0.333172202936086,5.2255094823123,-2.5712734355752,0.0106168841085312,0.0479582776260816,-3.98693968175072
"IPO7",-0.579446514503883,5.1535393707873,-2.57059588756814,0.0106372144468139,0.0480149584515895,-3.98864095856785
"PDLIM7",-0.490625155587851,1.09158039123579,-2.57049221252266,0.010640328362187,0.0480149584515895,-3.98890124170433
"S1PR1",0.487442750469152,1.83303770329502,2.56979417631222,0.0106613153356914,0.0480773357145661,-3.99065344691621
"NDUFA3",-0.14488491673073,10.072427905867,-2.56960604019609,0.0106669781123705,0.0480773357145661,-3.99112562689832
"TCF7",0.524909811338491,4.79568329338009,2.56948850319033,0.0106705172651414,0.0480773357145661,-3.99142060196845
"CENPL",-0.65932171886242,2.6746520495831,-2.56901858074213,0.0106846775713634,0.0481058893483765,-3.99259980719126
"EGR1",0.54734668192274,1.25487217868631,2.56891597584767,0.0106877716264747,0.0481058893483765,-3.99285725250686
"CSNK1E",0.553735109452906,2.05222304406547,2.56675279982293,0.0107531889500047,0.0483756274713586,-3.99828257478064
"PHB",0.245625296958303,8.075118196128,2.56633029441226,0.0107660077606564,0.0484085848952372,-3.9993417230109
"CDC14A",-0.322752878861699,0.452877845218579,-2.56612922752768,0.0107721129218422,0.0484113366548675,-3.9998457044558
"CRAT",-0.382934061710324,0.552522217095487,-2.56554028193171,0.0107900133712411,0.0484670682164873,-4.00132170060451
"ATXN7L1",-0.640361400503888,2.96888635524612,-2.56489239067999,0.0108097361137915,0.0485309242846889,-4.00294505004751
"CCNG1",0.601530858224661,3.65933122542765,2.56243217060073,0.0108849224354462,0.0488435954295251,-4.00910577870342
"SEC23A",-0.638718636162673,2.40579647728553,-2.56141693683485,0.0109160847160817,0.0489585010701414,-4.01164641470421
"NDUFB4",0.210764954919669,8.54355348275068,2.56105221238838,0.010927299258462,0.0489838699719355,-4.0125589072961
"XPO6",0.571350809841923,3.17294353548122,2.5607361873515,0.0109370247117668,0.0490025413242507,-4.01334945983934
"NDUFAB1",0.267096919501381,7.57591696042339,2.5586514838421,0.0110013739590388,0.049265807266773,-4.01856211180107
"ZFP566",0.660177179784393,1.58701529180937,2.55750473820799,0.0110369148964974,0.0493998633737084,-4.02142773538113
"ARF4",-0.370043456571347,6.94136073961527,-2.55721375915716,0.0110459494644728,0.0494152043809133,-4.02215467271264
"TMLHE",0.354577635569949,0.5231219762767,2.55673573970219,0.0110608057592425,0.0494565607083735,-4.02334871122694
"CALM3",-0.242957508295489,5.66887821429821,-2.55586892759008,0.0110877907956554,0.0495520792505634,-4.02551336494924
"DCUN1D4",0.413077211800003,0.552864789279512,2.55509503243184,0.0111119328504569,0.0496348019316153,-4.02744538753813
"MTHFR",0.405404046869259,0.687422465668558,2.55483225244031,0.0111201410730289,0.0496463035849054,-4.02810128818309
"WDR76",-0.433568922550313,3.40996923987532,-2.55454755772365,0.0111290399347412,0.0496536833533922,-4.02881181527321
"ZNF512B",0.530031777810647,2.14542321827834,2.55441893891482,0.0111330623290937,0.0496536833533922,-4.029132790929
"TPP1",-0.636202984600961,2.50532453856493,-2.55275977084733,0.0111850672403546,0.0498603933177771,-4.03327195391319
"FAM105A",-0.417341720726763,0.962939745670486,-2.5524830275423,0.0111937625427261,0.0498739278508821,-4.03396210105319
"TPR",-0.244146787423977,6.09033793601229,-2.54885369458015,0.0113083562620825,0.050355348912019,-4.04300636513346
"PSME3",0.486125162736857,4.33107673411585,2.54869972653831,0.0113132407631678,0.050355348912019,-4.04338977970727
"SDCCAG8",-0.677436564633869,2.49707044663564,-2.54658823481748,0.0113804161862939,0.0506287773093427,-4.04864562560543
"TOMM20",0.310289082558913,4.81205927979574,2.54537547000159,0.0114191600272457,0.0507755082341658,-4.05166250894425
"TARS",0.313562703185679,6.85889322273542,2.54485205712314,0.0114359176655332,0.0508243784096541,-4.05296412996924
"COMMD7",-0.417508476367519,4.39939325798732,-2.54211902673683,0.0115237754814922,0.0511890288903181,-4.05975645631943
"ACOX3",-0.438615841175103,0.751976762795657,-2.54082003006602,0.0115657445739878,0.0513130807842914,-4.0629823677134
"PMM1",-0.608022092061514,5.19922806842771,-2.54078285234438,0.0115669477474765,0.0513130807842914,-4.06307467114557
"CAR5B",-0.416970792177024,0.837894116256352,-2.54071420737503,0.0115691695811173,0.0513130807842914,-4.06324509686445
"GTDC1",0.432559448829016,0.97980105435599,2.5393036972626,0.0116149079397873,0.0514900320288457,-4.0667460118679
"RFC4",0.286475900245249,7.79630692617461,2.53833644275117,0.0116463660597317,0.0516035314652668,-4.06914568145806
"DYNLT1B",0.386349825717785,7.78828544362245,2.53739531283763,0.0116770474250159,0.0517134768626458,-4.07147969806083
"4930402H24RIK",-0.373735250714849,0.82326474580806,-2.53685901287782,0.0116945633213385,0.0517650359371956,-4.07280935946969
"MYC",0.431279670654337,6.06950476398299,2.53582549287659,0.0117283848218773,0.0518886824473917,-4.07537103139652
"SLC35F6",-0.485734244999444,0.948579735715556,-2.53556105219928,0.011737052528225,0.0519009753794516,-4.07602631071197
"TMEM230",0.707363277923985,2.24713044628093,2.53429378988251,0.0117786695346976,0.0520588839565143,-4.07916565603534
"NDUFS4",0.283488930685623,6.80906231869638,2.53406994388074,0.0117860343112002,0.0520653235010562,-4.07972002584689
"UBA1",-0.291135307146715,6.61770731380414,-2.53327831526734,0.0118121126895782,0.052154383333293,-4.08168017164792
"MT2",-0.926540639051713,7.60808059386857,-2.53098057065017,0.0118880981157644,0.0524598386170123,-4.08736627828205
"CHAC2",0.616760431149229,2.06391931755918,2.53082681071773,0.0118931984065347,0.0524598386170123,-4.08774660341574
"NDUFB2",0.321086916704426,7.86455477669314,2.52870330401658,0.0119638358374091,0.0527450151251059,-4.0929968331018
"FXR1",0.444911698992719,5.07978311114323,2.52733922461491,0.012009408241466,0.0529071077191377,-4.09636720234059
"ARL6IP1",-0.400254435485592,7.76559827008346,-2.52724359443402,0.0120126089352087,0.0529071077191377,-4.09660342017932
"0610030E20RIK",0.379848995234265,0.907399390189931,2.52685896525966,0.0120254899557479,0.052937384105897,-4.097553413187
"GALE",-0.644087433791627,3.12593225364981,-2.52638324477735,0.01204143859511,0.0529811274781352,-4.09872820040994
"HIGD1A",0.164215975721175,8.54922365066021,2.52550902395451,0.0120707961885905,0.0530837958133971,-4.10088652798688
"DOCK2",-0.679953048601682,4.11137743251767,-2.52509058087351,0.0120848706592017,0.0531050029681036,-4.10191935155522
"SLC25A17",-0.462653799875077,6.91536540783625,-2.52500740560623,0.0120876700276882,0.0531050029681036,-4.10212462966122
"CAPN2",-0.448185500628002,0.980462740346937,-2.52380492460113,0.0121282056309916,0.0532565402221866,-4.10509165136249
"SERINC1",-0.531656827763954,5.11200972535836,-2.52229458403272,0.0121792906870174,0.0534542275023328,-4.10881637258421
"TOP2A",-0.387808909151488,6.91427345668932,-2.52208169300351,0.0121865068025224,0.0534592754856297,-4.10934122129841
"HRSP12",0.751276863472634,4.97328002652915,2.52183426491713,0.0121948983639281,0.0534694722792527,-4.10995116226282
"RAPGEF6",-0.392480422635069,4.64831953298055,-2.52159478431723,0.012203025285422,0.0534784991747509,-4.11054145708756
"STOML1",0.541499974900945,1.03157845593849,2.52135494199074,0.0122111693160365,0.0534875920388815,-4.1111325897011
"SLTM",0.342274016729412,6.18034033081888,2.52093086195126,0.0122255811256913,0.0535241164732823,-4.11217767596886
"ETHE1",-0.77108244191609,3.73797242111313,-2.52057491106408,0.0122376893444727,0.0535420018732145,-4.11305473740548
"SELPLG",-0.49316401890495,4.98571896552095,-2.52045363830286,0.012241817062808,0.0535420018732145,-4.11335352586095
"CCNC",-0.495387805211628,5.07843563066481,-2.5191953138744,0.0122847194332449,0.0537029922446368,-4.11645293766657
"XBP1",-0.595685182275484,3.34807814330166,-2.51881058025207,0.0122978635614083,0.0537337984961285,-4.11740028908864
"NARS",0.248988039152827,7.8513544150235,2.51856897430207,0.0123061242421059,0.0537432472476111,-4.11799513825709
"VPS37B",0.300862681902206,0.437764246153325,2.51730546129718,0.012349405184623,0.0538972720094448,-4.12110509677124
"RBL2",-0.624806872210355,1.88922959880263,-2.51718250737523,0.0123536241301576,0.0538972720094448,-4.1214076506188
"PPP1CC",-0.460197567721553,5.18005043751596,-2.51683409802917,0.0123655861486288,0.053922766317598,-4.1222649077886
"EMC7",0.46091293670098,6.71366192788702,2.51555964793281,0.0124094300281712,0.0540624498156635,-4.12539970883783
"HNRNPAB",0.206465872940398,6.77159382110841,2.51554637975527,0.0124098872094732,0.0540624498156635,-4.12543233694797
"ERRFI1",0.349802442972837,0.424787889353938,2.51456387007315,0.0124437832127604,0.0541575046662663,-4.12784799304296
"MCM4",-0.298102731910853,6.95167819322571,-2.51439727335768,0.0124495388648775,0.0541575046662663,-4.12825750785762
"ZDHHC20",-0.422732060199895,3.51235375587652,-2.51431024305607,0.0124525465658048,0.0541575046662663,-4.12847142849367
"CINP",0.304685943249071,5.98891694411533,2.51409957135687,0.0124598298970198,0.0541575046662663,-4.1289892305272
"PSMD9",0.529576839001202,4.86444191097005,2.51402431112707,0.0124624327088606,0.0541575046662663,-4.12917419973103
"TMA7",0.101324936235521,10.2194989975914,2.51382855026804,0.0124692052003515,0.0541591248121795,-4.12965530190078
"BC052040",0.624352321703345,1.82292618144596,2.5136583443029,0.0124750962633297,0.0541591248121795,-4.13007357114855
"TCF12",-0.620327171760556,2.16337066917204,-2.51207177340305,0.0125301289417917,0.0543712586725802,-4.13397115244643
"CSRP1",-0.342060645488216,0.641495330691798,-2.51187388159524,0.0125370082587429,0.0543743374922741,-4.13445712943636
"RABGGTB",0.404700550436014,6.83704057511747,2.51108638652792,0.0125644172770161,0.0544664089829525,-4.13639067356367
"MARCH6",0.48438607531978,1.74165214972074,2.5093658211693,0.0126244876990149,0.0546999066329492,-4.14061317236143
"IPCEF1",0.349011475896163,0.449842419380326,2.50911406102933,0.012633298845049,0.05471118561249,-4.14123079296201
"ITK",0.672949065202177,4.00514122803182,2.50825608087848,0.0126633676956361,0.0548144693033602,-4.143335152702
"SLC25A33",0.354991163510415,0.592234547406269,2.50803429930075,0.0126711506219268,0.0548212324158278,-4.14387900206013
"DAND5",0.273394199371193,0.235051832337585,2.50779867284021,0.0126794240652033,0.0548301100523241,-4.14445675112573
"NDUFAF3",-0.693163492768068,3.2413523510557,-2.50691131985675,0.0127106244244541,0.0549380740817625,-4.14663204729996
"CKAP5",-0.336566786572743,5.89277773267836,-2.50615757714803,0.0127371805163342,0.0550258685737516,-4.14847922574067
"TOMM7",0.142140137034845,7.78538113904194,2.50552084491271,0.0127596525024261,0.0550959419421269,-4.15003923465249
"GIT1",-0.443550486271733,1.16881351331804,-2.50504183484064,0.012776581287137,0.0551420229596174,-4.15121257011112
"PDE4B",0.551534814047972,2.80990697570564,2.50433518031234,0.0128015917704869,0.0552229213280963,-4.15294312815572
"9430015G10RIK",0.673991192912757,1.81763916004683,2.50408323253273,0.0128105194323556,0.0552343971415605,-4.15356002121478
"TOMM70A",0.422018551951345,4.67254217176029,2.50220332938609,0.0128773079751018,0.0554952152491796,-4.15816107775627
"SLC25A40",-0.415136715052137,0.695867294601096,-2.50078437724605,0.0129279248871868,0.0556861202496469,-4.16163176436423
"COQ2",0.490842669124926,1.10950908196005,2.50045246992283,0.0129397901959468,0.0557100004869954,-4.16244332084145
"MRPL52",0.242123013661953,8.17215503104448,2.49879670070612,0.0129991268094987,0.055919071115345,-4.1664903487318
"NOC2L",0.442623926150213,5.37731249343668,2.49874339026851,0.0130010412703213,0.055919071115345,-4.16662060728943
"MYCBP",-0.45416482609616,6.13195430942656,-2.49769428644286,0.0130387672581655,0.056053978461567,-4.16918344214397
"MAPK14",-0.577791938582689,1.84798147246284,-2.49567164828825,0.0131117764989031,0.0563403638638876,-4.17412159190017
"1190007I07RIK",0.630839562305596,4.53645841217079,2.49514299382794,0.013130918629287,0.0563951198245156,-4.17541163771346
"UBC",-0.278356938210422,9.09340357334063,-2.49376667827968,0.0131808703995099,0.0565820802878131,-4.17876895400983
"A830080D01RIK",-0.634228777314011,2.37873416942288,-2.49316404057323,0.0132027955397391,0.0566221606617844,-4.18023843952707
"PKP4",0.573175305333724,2.69556836210709,2.4931568630851,0.0132030568659897,0.0566221606617844,-4.18025593922533
"BCLAF1",0.229524480616323,6.51105527897556,2.4929509080687,0.0132105574717869,0.0566267718866041,-4.18075806515585
"RPL26",0.0700520052893334,11.8047608442946,2.49273059858254,0.0132185850393098,0.0566336363400276,-4.18129514377751
"FOXN2",-0.341800625572897,3.34118694904662,-2.49227839082841,0.0132350760235695,0.05667673712134,-4.18239740997481
"LIN7C",-0.46660301917318,3.19374890281175,-2.49155468541879,0.0132615059473365,0.056762337014996,-4.18416105852038
"SKP1A",-0.184020177986846,8.75052086834763,-2.49104889892218,0.0132800052405437,0.0568064502206053,-4.1853933535414
"CHEK2",0.701633870811004,2.60491342783954,2.49092053810138,0.0132847037223043,0.0568064502206053,-4.18570605286033
"STAM2",-0.506588386848642,2.07048922518979,-2.49018054257636,0.0133118191113641,0.0568947923513345,-4.18750845186238
"ZCCHC18",-0.247820028147141,0.152907437948854,-2.48975277105112,0.0133275162059844,0.0569342706366167,-4.18855013601316
"FXN",-0.507566270741013,3.71063437360203,-2.48957198680189,0.013334155033478,0.0569350330959505,-4.18899031962616
"FARSB",0.353420748248381,7.24257314884867,2.48902627209394,0.01335421279712,0.0569764816137962,-4.19031887041505
"PRADC1",0.727208390708286,2.0447341829081,2.48895614254269,0.0133567923538072,0.0569764816137962,-4.19048958162264
"TBRG4",0.448548550401729,3.75931135309667,2.48848239685576,0.0133742296132443,0.0570232634646937,-4.19164266505276
"ODF2",-0.564324366850715,4.01927979039665,-2.48816541879476,0.0133859079812558,0.0570454579491332,-4.19241406301674
"UFC1",0.47132793122785,7.23852744768399,2.4874939779252,0.0134106756812616,0.0571090984918125,-4.19404777056593
"ASB4",0.197734550560726,0.0947762156135893,2.48734944020776,0.0134160126213468,0.0571090984918125,-4.19439939529994
"TBCA",-0.249395516778916,7.80438603300209,-2.48723385852602,0.0134202817402183,0.0571090984918125,-4.19468056301564
"AGL",0.276860766675704,3.32596294393214,2.4856646872164,0.0134783600715334,0.0573285653042585,-4.19849653956382
"CNNM4",-0.623702594027164,3.41991283416416,-2.48473393424732,0.0135129145659739,0.0574478128653775,-4.20075889217549
"PTPRA",-0.594146639468023,2.73176005827669,-2.48355036825934,0.0135569684312573,0.0575931077384202,-4.20363457569923
"AP1AR",-0.46257635120336,1.06048606814723,-2.48336739082892,0.0135637904589794,0.0575931077384202,-4.20407903452159
"ST7L",0.43323375164803,1.22221627434201,2.48328948505321,0.0135666959792307,0.0575931077384202,-4.20426826094459
"MRPL50",0.499874280510089,6.23231814736863,2.48306383373741,0.0135751148343509,0.0576011011242825,-4.20481631643113
"PLSCR1",0.480143719665275,6.14027655545121,2.48199326176172,0.0136151201901298,0.0577430482365804,-4.20741584009889
"OCIAD1",0.419571953342174,6.40168129790515,2.48110372208918,0.013648440274557,0.0578565195477014,-4.2095749697137
"ITPRIPL1",-0.278808534500488,6.41339444631098,-2.48087531251477,0.0136570076374315,0.0578595855334556,-4.2101292556196
"FASTKD1",0.44869872345623,0.826904411030532,2.48066363979559,0.0136649514833609,0.0578595855334556,-4.21064288216979
"BCL11B",-0.433467497399211,2.28413430880404,-2.48055955149391,0.013668859307915,0.0578595855334556,-4.21089543833881
"NDUFS1",0.562373090255893,5.43312588464204,2.47839360705191,0.0137504015573063,0.0581768069728951,-4.21614850217822
"NUP62",0.526570906568712,3.4664200201528,2.47735421814144,0.0137896849708469,0.0583150161459086,-4.21866776818194
"ASB13",0.440005847398274,0.841411388663531,2.47527490680841,0.0138685710176269,0.0586204874716288,-4.22370455009828
"NEIL3",-0.491593690401187,1.19615473309253,-2.47446017299017,0.0138995898632468,0.0587234350262677,-4.22567699912062
"MPP1",-0.58393658450845,1.80370501349984,-2.47397410500323,0.0139181249268915,0.0587735673122639,-4.22685346010282
"NUDT22",-0.76733293422184,2.72604352489822,-2.47179016470168,0.0140016752733371,0.0590583615941658,-4.23213665147943
"H2-T24",0.492563220864323,2.0319164908575,2.47178476235741,0.0140018824996782,0.0590583615941658,-4.23214971479156
"CTRL",0.274211639187312,0.193143321187691,2.47168601775731,0.0140056706832868,0.0590583615941658,-4.23238848251751
"MRPS10",0.418971127670599,6.77020310120708,2.4712765674535,0.0140213883129166,0.0590963630806952,-4.23337844928874
"HAAO",-0.185885702629953,0.109405133689101,-2.47051628999103,0.0140506147025458,0.0591912367942332,-4.23521622663461
"STAM",-0.578853053684907,1.95103991999799,-2.47007278336226,0.0140676888143027,0.0592348502247728,-4.2362880404527
"MIA3",-0.410169260771791,3.03610954507383,-2.46977995125806,0.0140789723451785,0.059252280914875,-4.23699562086232
"TMEM55A",-0.600085457531551,3.86759166139875,-2.46961647446376,0.0140852749933806,0.059252280914875,-4.23739060051311
"TIMM8A1",0.369883571299347,8.38728529850663,2.46939580644142,0.0140937865484496,0.0592598000245641,-4.23792372127273
"HARS",0.28928570713968,6.75549490696982,2.46914967810543,0.0141032855343421,0.0592714618093261,-4.2385182986914
"STARD7",0.651284141336743,4.11629469915355,2.46829952194662,0.0141361398415172,0.0593812204114827,-4.2405716013192
"MFSD7B",0.548619839051329,1.81594238057069,2.46643386703787,0.0142084761458019,0.0596193763717509,-4.24507516422392
"SF1",-0.363991212391188,3.93383987996738,-2.46641991760591,0.0142090182356354,0.0596193763717509,-4.24510882488472
"SYPL",-0.498403320036885,4.89736570949039,-2.46631414059236,0.0142131294402642,0.0596193763717509,-4.24536406403984
"CHEK1",-0.523351819846351,3.52854737667986,-2.46537009493293,0.0142498681311114,0.0597450465459013,-4.24764157391173
"RAB34",-0.425383622274782,0.600668606123706,-2.46444604641291,0.0142859101287015,0.0598676775864224,-4.2498700301334
"RAB18",-0.507914695426774,4.74798231718917,-2.46137352620695,0.0144063339118076,0.0603436410478898,-4.25727402262145
"BIVM",-0.542139843764797,1.27009908784236,-2.46107215747561,0.0144181940206191,0.0603646289328819,-4.25799976712584
"ZDHHC12",-0.799807529571503,3.47411078085579,-2.46003588631378,0.0144590416554325,0.06050690128648,-4.2604946241654
"FAM20A",-0.20102409722604,0.137991651578552,-2.45963644732746,0.0144748140682424,0.0605441558535455,-4.26145601736397
"RFC1",0.265477169483873,5.76896833235733,2.45941462459725,0.0144835796357917,0.0605520812762014,-4.26198984860354
"SPATA6",-0.469673910603198,0.953134557062566,-2.45882385695648,0.0145069474169234,0.060596344190847,-4.26341134497103
"KCNMB4",-0.279477994565598,0.232269574850229,-2.45879932354044,0.0145079185569825,0.060596344190847,-4.26347036982373
"KNOP1",0.37176058475525,4.16822193364339,2.45847061151775,0.014520935976992,0.0606219842563858,-4.26426116229262
